serial,asset,platform,catalog,area,location,usage,status,allocation,username,hostname,fleet
SAMPLEMAC001,ASSET-0101,Macintosh,Staff,IT,B1101,Assigned,Active,Alex Rivera,arivera@example.ca,ALEXRIVERA,
SAMPLEMAC002,ASSET-0102,Macintosh,Staff,IT,B1101,Assigned,Active,Jordan Bell,jbell@example.ca,JORDANBELL,
SAMPLEMAC003,ASSET-0103,Macintosh,Staff,Library,B1330,Assigned,Active,Sam Okafor,sokafor@example.ca,SAMOKAFOR,
SAMPLEMAC004,ASSET-0104,Macintosh,Faculty,Design,C2204,Assigned,Active,Priya Raman,praman@example.ca,PRIYARAMAN,
SAMPLEMAC005,ASSET-0105,Macintosh,Faculty,Media,D1140,Assigned,Active,Tomas Berg,tberg@example.ca,TOMASBERG,
SAMPLEMAC006,ASSET-0106,Macintosh,Curriculum,Design,C2204,Shared,Active,Design Studio 01,,DESIGN-C2204-01,
SAMPLEMAC007,ASSET-0107,Macintosh,Curriculum,Design,C2204,Shared,Active,Design Studio 02,,DESIGN-C2204-02,
SAMPLEMAC008,ASSET-0108,Macintosh,Curriculum,Design,C2210,Shared,Active,Design Bench 01,,DESIGN-C2210-01,
SAMPLEMAC009,ASSET-0109,Macintosh,Curriculum,Media,D1140,Shared,Active,Edit Suite 01,,MEDIA-D1140-01,
SAMPLEMAC010,ASSET-0110,Macintosh,Curriculum,Media,D1140,Shared,Active,Edit Suite 02,,MEDIA-D1140-02,
SAMPLEMAC011,ASSET-0111,Macintosh,Kiosk,Media,D1150,Shared,Active,Media Wall Kiosk,,MEDIA-D1150-K1,
SAMPLEMAC012,ASSET-0112,Macintosh,Provisioning,IT,B1101,Shared,Active,Staging Mac 01,,STAGING-01,
SAMPLEMAC013,ASSET-0113,Macintosh,Curriculum,Design,C2210,Shared,Retired,Design Bench 07,,DESIGN-C2210-07,
SAMPLEWIN014,ASSET-0114,Windows,Staff,IT,B1101,Assigned,Active,Dana Whitfield,dwhitfield@example.ca,DANAWHITFIELD,
SAMPLEWIN015,ASSET-0115,Windows,Staff,Library,B1330,Assigned,Active,Marcus Iyer,miyer@example.ca,MARCUSIYER,
SAMPLEWIN016,ASSET-0116,Windows,Faculty,Design,C2204,Assigned,Active,Robin Achebe,rachebe@example.ca,ROBINACHEBE,
SAMPLEWIN017,ASSET-0117,Windows,Curriculum,Design,C2210,Shared,Active,Render Bench 01,,DESIGN-C2210-W1,
SAMPLEWIN018,ASSET-0118,Windows,Curriculum,Design,C2210,Shared,Active,Render Bench 02,,DESIGN-C2210-W2,
SAMPLEWIN019,ASSET-0119,Windows,Curriculum,Media,D1140,Shared,Active,Audio Booth 01,,MEDIA-D1140-W1,
SAMPLEWIN020,ASSET-0120,Windows,Kiosk,Library,B1330,Shared,Active,Library Signage,,LIB-B1330-K1,
SAMPLEWIN021,ASSET-0121,Windows,Provisioning,IT,B1101,Shared,Active,Imaging Bench,,IMAGING-01,
SAMPLEWIN022,ASSET-0122,Windows,Staff,IT,B1101,Assigned,Lost,Spare Laptop 04,,SPARE-04,
